위도,경도,유형,위험도점수,cctv_coverage_m,bus_influence_m,nearest_cctv_m,근거,crs,latitude,longitude,x,y,epsg,wkt
37.31445,126.9559833,정류소,,,150.0,171.5195347887771,버스정류장 150m 내 CCTV 없음,WGS84,37.31445,126.9559833,126.9559833,37.31445,EPSG:4326,POINT (126.9559833 37.31445)
37.3199,126.9461,정류소,,,150.0,1036.9417398206915,버스정류장 150m 내 CCTV 없음,WGS84,37.3199,126.9461,126.9461,37.3199,EPSG:4326,POINT (126.9461 37.3199)
37.3201,126.9458667,정류소,,,150.0,1054.1336791294816,버스정류장 150m 내 CCTV 없음,WGS84,37.3201,126.9458667,126.9458667,37.3201,EPSG:4326,POINT (126.9458667 37.3201)
37.3158167,126.9507833,정류소,,,150.0,655.6199037043413,버스정류장 150m 내 CCTV 없음,WGS84,37.3158167,126.9507833,126.9507833,37.3158167,EPSG:4326,POINT (126.9507833 37.3158167)
37.3157833,126.95065,정류소,,,150.0,665.5757964572676,버스정류장 150m 내 CCTV 없음,WGS84,37.3157833,126.95065,126.95065,37.3157833,EPSG:4326,POINT (126.95065 37.3157833)
37.3161667,126.9492833,정류소,,,150.0,793.7237043708814,버스정류장 150m 내 CCTV 없음,WGS84,37.3161667,126.9492833,126.9492833,37.3161667,EPSG:4326,POINT (126.9492833 37.3161667)
37.3762667,127.0026167,정류소,,,150.0,806.513012258069,버스정류장 150m 내 CCTV 없음,WGS84,37.3762667,127.0026167,127.0026167,37.3762667,EPSG:4326,POINT (127.0026167 37.3762667)
37.37615,127.0025333,정류소,,,150.0,815.8538298624409,버스정류장 150m 내 CCTV 없음,WGS84,37.37615,127.0025333,127.0025333,37.37615,EPSG:4326,POINT (127.0025333 37.37615)
37.3750167,127.0073,정류소,,,150.0,1140.001269071105,버스정류장 150m 내 CCTV 없음,WGS84,37.3750167,127.0073,127.0073,37.3750167,EPSG:4326,POINT (127.0073 37.3750167)
37.3747167,127.0073,정류소,,,150.0,1166.1287907446278,버스정류장 150m 내 CCTV 없음,WGS84,37.3747167,127.0073,127.0073,37.3747167,EPSG:4326,POINT (127.0073 37.3747167)
37.3879667,126.97855,정류소,,,150.0,920.6040452275718,버스정류장 150m 내 CCTV 없음,WGS84,37.3879667,126.97855,126.97855,37.3879667,EPSG:4326,POINT (126.97855 37.3879667)
37.3878,126.9784,정류소,,,150.0,942.8330582650848,버스정류장 150m 내 CCTV 없음,WGS84,37.3878,126.9784,126.9784,37.3878,EPSG:4326,POINT (126.9784 37.3878)
37.3571667,126.9614833,정류소,,,150.0,463.8378968851973,버스정류장 150m 내 CCTV 없음,WGS84,37.3571667,126.9614833,126.9614833,37.3571667,EPSG:4326,POINT (126.9614833 37.3571667)
