grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag
250,126.97077976,37.34421795,138.31,41.47,1287.13,193.83,672.96,0.0,1.0,0.821571,0.998663,0.825327,0.910948,34.49,789,False
870,127.02981153,37.38277593,1404.48,1120.72,4204.85,1524.07,2380.57,0.541673,0.0,0.0,0.138166,0.055065,0.04971,34.489,790,False
142,126.95971613,37.31261957,220.97,226.87,839.33,641.48,338.87,0.0,0.848097,0.95204,0.709091,0.976031,0.861965,34.479,791,False
141,126.95973226,37.31036618,426.32,140.4,1023.11,825.22,548.48,0.032451,0.945292,0.898496,0.590231,0.88148,0.812823,34.46,792,False
267,126.97392137,37.3309191,792.18,523.82,2394.89,755.86,1662.25,0.222916,0.51427,0.498812,0.635101,0.379082,0.524831,34.368,793,False
821,127.0212253,37.40076898,1026.1,642.67,3683.08,714.54,2152.77,0.344692,0.380665,0.123484,0.661832,0.15782,0.341575,34.345,794,False
930,127.04283792,37.40506514,1331.97,1520.73,5640.37,1217.11,4111.82,0.503924,0.0,0.0,0.336727,0.0,0.101018,34.276,795,False
228,126.96795737,37.34420529,315.82,216.15,1307.74,280.3,794.15,0.0,0.860138,0.815563,0.942728,0.77066,0.855892,34.236,796,False
906,127.03532018,37.40533208,1292.61,854.76,5029.35,1212.76,3498.99,0.483436,0.142245,0.0,0.339546,0.0,0.130313,34.219,797,False
862,127.02688855,37.39853834,1080.51,557.52,4073.41,733.87,2553.8,0.373018,0.476386,0.009755,0.649328,0.0,0.29349,34.121,798,False
742,127.01275169,37.40073436,842.79,447.83,3001.98,846.44,1488.26,0.24926,0.599703,0.32193,0.576505,0.457565,0.474202,33.924,799,False
77,126.94902547,37.33734723,854.43,827.71,2210.48,897.32,1422.38,0.255321,0.172651,0.552541,0.543595,0.487282,0.46409,33.883,800,False
