grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_school_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_road_m,nearest_road_way_id,nearest_road_name,nearest_road_highway,nearest_road_vol_mean,score_cctv_gap_0_1,score_school_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_road_proximity_0_1,score_traffic_0_1,total_score_equal_0_100,total_score_weighted_0_100,min_cctv_gap_m,max_road_dist_m
448,126.98740768,37.38936004,381.68,210.78,287.92,433.88,17.89,6.34,82626318,학의로,tertiary,0.0,0.153217,1.0,0.779463,1.0,1.0,0.996018,0.5,77.553,78.891,200.0,150.0
214,126.96596826,37.3691869,417.64,125.25,103.66,1153.09,171.34,26.36,493196004,모락로,tertiary,0.0,0.180418,1.0,0.986596,0.860624,1.0,0.874625,0.5,77.175,78.799,200.0,150.0
107,126.95400852,37.32160721,326.59,372.0,44.28,458.03,343.01,30.9,155809498,부곡중앙북9길,residential,0.0,0.111542,0.961083,1.0,1.0,0.902162,0.847102,0.5,76.027,78.77,200.0,150.0
303,126.97639327,37.34874983,263.2,69.85,127.77,942.17,160.6,3.28,378314624,사그내1길,residential,0.0,0.063586,1.0,0.959497,0.922076,1.0,1.0,0.5,77.788,78.765,200.0,150.0
414,126.98458358,37.38934777,302.07,234.61,197.85,213.36,258.49,13.34,607123668,,service,0.0,0.092991,1.0,0.880718,1.0,0.956835,0.953559,0.5,76.916,78.749,200.0,150.0
516,126.99305587,37.38938439,319.4,324.61,150.59,921.25,136.23,48.22,585392825,안양판교로,primary,0.0,0.106105,0.98246,0.933841,0.928171,1.0,0.742072,0.5,74.181,78.704,200.0,150.0
517,126.9930407,37.39163776,377.3,325.39,158.31,990.72,170.47,3.47,381700266,양지편로,residential,0.0,0.149904,0.982111,0.925162,0.907932,1.0,1.0,0.5,78.073,78.527,200.0,150.0
184,126.96265514,37.35989949,318.22,643.58,105.53,275.6,232.12,31.8,963511470,경수대로391번길,unclassified,0.0,0.105206,0.83858,0.9845,1.0,0.973897,0.841615,0.5,74.911,78.475,200.0,150.0
185,126.96287656,37.36145295,327.85,528.06,68.7,371.92,317.3,31.68,488390570,경수대로,primary,3.338,0.112495,0.890689,1.0,1.0,0.918793,0.842386,0.5,75.205,78.222,200.0,150.0
232,126.96789376,37.3532188,278.96,446.02,189.02,369.04,228.41,9.95,160553287,맑은내1길,residential,0.0,0.075507,0.927694,0.890641,1.0,0.976297,0.97416,0.5,76.347,78.207,200.0,150.0
71,126.94834896,37.32383441,852.31,884.48,104.31,785.43,358.69,0.33,488779084,철도박물관로,tertiary,0.0,0.50924,0.729919,0.985868,0.967744,0.892022,1.0,0.5,79.783,78.107,200.0,150.0
108,126.95399222,37.32386059,359.77,420.61,144.71,701.8,318.15,22.17,488603165,,service,0.0,0.136645,0.93916,0.94045,0.992111,0.918241,0.900032,0.5,76.095,78.104,200.0,150.0
103,126.95407371,37.31259367,358.56,364.46,87.67,573.46,414.12,4.74,452600815,,unclassified,0.0,0.135728,0.964485,1.0,1.0,0.856163,1.0,0.5,77.948,78.025,200.0,150.0
302,126.97640892,37.34649645,300.38,274.55,106.23,1159.18,149.83,17.86,378314612,,residential,0.0,0.091713,1.0,0.983709,0.85885,1.0,0.926161,0.5,76.578,77.951,200.0,150.0
251,126.97076395,37.34647133,385.19,507.33,111.5,1037.16,74.63,16.53,167982107,시청로,tertiary,0.0,0.155873,0.900042,0.977783,0.894402,1.0,0.934234,0.5,76.605,77.901,200.0,150.0
252,126.97074813,37.34872471,252.71,432.3,169.84,787.21,220.29,1.3,60819382,안양천 자전거길,cycleway,0.0,0.055649,0.933885,0.912208,0.967228,0.981545,1.0,0.5,76.436,77.798,200.0,150.0
265,126.97085442,37.37782424,321.17,187.26,103.01,836.31,361.28,16.87,82905050,,pedestrian,0.0,0.107437,1.0,0.987327,0.95292,0.890344,0.93218,0.5,76.717,77.796,200.0,150.0
59,126.94620521,37.32151617,691.42,703.27,159.95,713.33,360.97,8.99,839286568,,service,0.0,0.387529,0.811656,0.923319,0.988751,0.890547,0.979991,0.5,78.311,77.724,200.0,150.0
58,126.94556721,37.31930333,551.19,543.51,81.3,651.85,451.79,27.46,499605010,,footway,0.0,0.281449,0.883721,1.0,1.0,0.831794,0.867983,0.5,76.642,77.709,200.0,150.0
412,126.98461443,37.38484103,530.29,349.18,64.39,393.57,523.68,0.62,379077653,정우1길,living_street,0.0,0.265639,0.97138,1.0,1.0,0.785289,1.0,0.5,78.89,77.704,200.0,150.0
168,126.96245711,37.32389935,414.06,391.03,151.3,1115.11,148.49,5.72,571384233,,residential,0.0,0.177714,0.9525,0.933049,0.87169,1.0,0.999814,0.5,77.64,77.698,200.0,150.0
239,126.96778238,37.36899241,398.53,105.01,185.25,1149.35,163.93,21.29,1230236677,,footway,0.0,0.165963,1.0,0.894875,0.861714,1.0,0.905362,0.5,76.113,77.501,200.0,150.0
68,126.94839837,37.31707427,208.47,191.81,127.62,379.08,376.97,90.96,496583280,철도박물관로,tertiary,0.0,0.022185,1.0,0.959666,1.0,0.880194,0.48289,0.5,69.213,77.497,200.0,150.0
277,126.97353923,37.35324406,234.35,211.98,233.95,392.67,290.32,2.74,160553268,등칙골1길,residential,0.0,0.041759,1.0,0.84013,1.0,0.936247,1.0,0.5,75.973,77.327,200.0,150.0
287,126.97338177,37.37577779,401.18,131.71,37.28,897.81,422.27,43.05,1093290315,,living_street,0.0,0.16797,1.0,1.0,0.935003,0.850891,0.77339,0.5,74.675,77.241,200.0,150.0
148,126.95961934,37.32613988,217.77,419.42,64.13,1129.55,173.44,12.73,468211809,,motorway_link,0.0,0.029217,0.939697,1.0,0.867482,1.0,0.957266,0.5,75.624,77.021,200.0,150.0
274,126.97358643,37.34648393,325.18,322.3,135.75,1071.07,265.42,25.05,582107271,,footway,0.0,0.110471,0.983502,0.950524,0.884521,0.952352,0.882584,0.5,75.199,76.989,200.0,150.0
183,126.96245795,37.35760508,364.14,844.11,99.07,296.13,298.71,1.04,497824253,의왕군포로,tertiary,0.0,0.139944,0.748125,0.991754,1.0,0.930817,1.0,0.5,75.866,76.755,200.0,150.0
231,126.96790966,37.35096543,312.84,596.6,39.76,584.97,386.37,1.3,1311070438,,service,0.0,0.101142,0.859771,1.0,1.0,0.874113,1.0,0.5,76.215,76.749,200.0,150.0
482,126.99024703,37.38711888,617.46,334.55,384.72,669.45,336.63,20.74,82626318,학의로,tertiary,0.0,0.331581,0.977978,0.670641,1.0,0.906289,0.908706,0.5,75.646,76.698,200.0,150.0
89,126.95117059,37.32384753,604.51,659.48,247.43,701.58,330.39,16.26,488603165,,service,0.0,0.321784,0.83141,0.824975,0.992175,0.910328,0.935871,0.5,75.951,76.631,200.0,150.0
301,126.97642456,37.34424307,366.08,375.41,46.78,1387.33,107.0,2.49,418064356,경수대로,primary,3.338,0.141418,0.959547,1.0,0.792374,1.0,1.0,0.5,77.048,76.623,200.0,150.0
396,126.98486099,37.34878701,445.0,375.5,39.73,1492.38,135.59,0.84,580162098,의왕휴게소,services,0.0,0.201117,0.959504,1.0,0.761768,1.0,1.0,0.5,77.463,76.476,200.0,150.0
